Name,Kills,Kill Assists,KMDD,Components Destroyed,Damage
AndiMech,11,15,12,29,2848
RJF Daniel,11,15,9,28,2638
Poly Cat,9,16,5,25,1912
Gadolinium64,7,16,8,23,1639
sharpendlily,9,14,5,22,1827
Dubious Squirrel,11,13,5,22,1281
SlightlyMobileTurret,11,15,7,21,2628
unFearing,6,18,9,21,2609
EmbarRassing,9,19,5,21,2030
TheUltimateGhost,8,20,7,21,2199
Lusankya,5,20,1,20,1717
Krasnopesky,9,20,4,20,2363
Dr Cara Carcass,6,21,6,20,2056
Psychedelic Dragon Fury,7,17,6,19,1983
Raythe 71,10,17,9,19,2216
Arthen00,8,19,7,19,2166
Malystryx VoF,7,22,9,19,2646
Jiffy,10,8,6,19,1759
justcallme A S H,6,20,15,19,3551
Texan Scrub Lord,4,26,5,19,1563
LordSkyKnight,7,7,3,18,1961
Bows3r,6,22,6,18,2562
HydroKyle240,9,5,4,18,2048
P A S H A,7,16,4,18,1819
Flynn Hasek,9,16,5,17,1599
Shotgunfist,9,16,4,17,1909
Paradox42,7,21,9,17,2230
Nisk,8,15,12,17,2148
Leve198777 Thy Potato Pope,6,14,4,17,2059
ForkTheSp00nWrecker,10,4,5,17,1531
___,7,20,10,17,2618
Hammer 13,6,17,2,16,2151
Navid A1,7,17,3,16,1632
Rick88,9,18,5,16,1572
-A C E-,5,11,4,16,1107
Darkstrand,5,19,5,16,2292
Jay Z,10,17,4,16,1980
Ghogiel,7,13,2,16,1454
Thilas,2,22,4,16,1690
Katastrophy Kid,8,17,7,16,1871
jamesbombed00420,6,9,1,16,868
Throe,4,16,6,16,2572
Mangoba,6,16,6,15,2245
minist3r,7,13,4,15,1776
Wobbly,5,21,5,15,1657
giggitygiggitygoo,5,17,4,15,2218
Amagibestfox,4,12,4,15,1635
Zonaron8,6,5,1,14,1321
Bakey,5,18,4,14,1495
Wilthanan,6,10,4,14,1542
LeadPiranha,3,5,3,14,974
T0furk3y,6,15,4,14,1177
cranect,5,20,6,14,1866
Buster Machine 0,6,10,5,14,2114
Tekkadan Bux,6,15,4,13,1872
Feezou,4,12,5,13,1730
Revostae,3,12,3,13,947
Shade 03,3,16,5,13,2068
SirEpicPwner,5,20,4,13,1809
The Blood Eagle,3,22,6,13,2120
Alex545,8,15,4,13,1810
thatoneBALDguy,3,25,8,13,2387
Temuedschin40,6,21,10,12,2993
Yuntow,3,20,5,12,1574
VaMPHuNT,5,18,5,12,1809
CenterMass,4,9,4,12,1449
Verenix,8,9,4,12,1861
zudukai,6,16,4,11,1986
Saibot Kerensky,3,15,3,10,1794